c_g,pv,rho,c_b,scenario,trips,feasible,trucks,batteries,fuel_kwh,gen_cost,truck_cost,batt_cost,other_cost,total_cost,lp_obj,mip_obj,gap_pct,cg_s
100.0,3.0,0.5,26.0,solar,60,True,37,0,23700.0,23700.0,1665.0,0.0,4.1,25369.1,25324.05,25369.1,0.177,0.4
100.0,3.0,0.5,26.0,v2g,60,True,36,59,0.0,0.0,1620.0,1534.0,15.9,3169.9,3169.9,3169.9,0.001,0.41
100.0,3.0,0.5,36.0,vsp,60,True,18,0,26700.0,26700.0,810.0,0.0,0.0,27510.0,15510.0,15510.0,0.0,0.31
100.0,3.0,0.5,36.0,solar,60,True,37,0,23700.0,23700.0,1665.0,0.0,4.1,25369.1,25324.05,25369.1,0.177,0.4
100.0,3.0,0.5,36.0,v2g,60,True,36,59,0.0,0.0,1620.0,2124.0,15.9,3759.9,3759.9,3759.9,0.001,0.36
100.0,3.0,0.5,51.0,vsp,60,True,18,0,26700.0,26700.0,810.0,0.0,0.0,27510.0,15510.0,15510.0,0.0,0.31
100.0,3.0,0.5,51.0,solar,60,True,37,0,23700.0,23700.0,1665.0,0.0,4.1,25369.1,25324.05,25369.1,0.177,0.4
100.0,3.0,0.5,51.0,v2g,60,True,42,53,0.0,0.0,1890.0,2703.0,15.9,4608.9,4608.9,4608.9,0.0,0.73
100.0,3.0,1.75,26.0,vsp,60,True,18,0,26700.0,26700.0,810.0,0.0,0.0,27510.0,15510.0,15510.0,0.0,0.31
100.0,3.0,1.75,26.0,solar,60,True,30,0,23700.0,23700.0,1350.0,0.0,4.0,25054.0,25054.05,25054.0,-0.0,0.44
100.0,3.0,1.75,26.0,v2g,60,True,30,27,0.0,0.0,1350.0,702.0,16.8,2068.8,2045.61,2068.8,1.12,0.92
100.0,3.0,1.75,36.0,vsp,60,True,18,0,26700.0,26700.0,810.0,0.0,0.0,27510.0,15510.0,15510.0,0.0,0.31
100.0,3.0,1.75,36.0,solar,60,True,30,0,23700.0,23700.0,1350.0,0.0,4.0,25054.0,25054.05,25054.0,-0.0,0.44
100.0,3.0,1.75,36.0,v2g,60,True,30,28,0.0,0.0,1350.0,1008.0,16.8,2374.8,2307.04,2374.8,2.852,0.79
100.0,3.0,1.75,51.0,vsp,60,True,18,0,26700.0,26700.0,810.0,0.0,0.0,27510.0,15510.0,15510.0,0.0,0.32
100.0,3.0,1.75,51.0,solar,60,True,30,0,23700.0,23700.0,1350.0,0.0,4.0,25054.0,25054.05,25054.0,-0.0,0.44
100.0,3.0,1.75,51.0,v2g,60,True,36,21,0.0,0.0,1620.0,1071.0,16.4,2707.4,2665.33,2707.4,1.552,1.26
